Variable,"The District of Algoma Health Unit [Health region], Ontario","Brant County Health Unit [Health region], Ontario","Chatham-Kent Health Unit [Health region], Ontario","Durham Regional Health Unit [Health region], Ontario","The Eastern Ontario Health Unit [Health region], Ontario","Grey Bruce Health Unit [Health region], Ontario","Haldimand-Norfolk Health Unit [Health region], Ontario","City of Hamilton Health Unit [Health region], Ontario","Halton Regional Health Unit [Health region], Ontario","Haliburton, Kawartha, Pine Ridge District Health Unit [Health region], Ontario","Hastings and Prince Edward Counties Health Unit [Health region], Ontario","Huron Perth Health Unit [Health region], Ontario","Kingston, Frontenac and Lennox and Addington Health Unit [Health region], Ontario","Lambton Health Unit [Health region], Ontario","Leeds, Grenville and Lanark District Health Unit [Health region], Ontario","Middlesex-London Health Unit [Health region], Ontario","Niagara Regional Area Health Unit [Health region], Ontario","North Bay Parry Sound District Health Unit [Health region], Ontario","Northwestern Health Unit [Health region], Ontario","City of Ottawa Health Unit [Health region], Ontario","Peel Regional Health Unit [Health region], Ontario","Peterborough County--City Health Unit [Health region], Ontario","Porcupine Health Unit [Health region], Ontario","Sudbury and District Health Unit [Health region], Ontario","Renfrew County and District Health Unit [Health region], Ontario","Simcoe Muskoka District Health Unit [Health region], Ontario","South West [Home and Community Care Support Services], Ontario","Thunder Bay District Health Unit [Health region], Ontario","Timiskaming Health Unit [Health region], Ontario","City of Toronto Health Unit [Health region], Ontario","Waterloo Health Unit [Health region], Ontario","Wellington-Dufferin-Guelph Health Unit [Health region], Ontario","Windsor-Essex County Health Unit [Health region], Ontario","York Regional Health Unit [Health region], Ontario"
          Spanish,775,1880,1020,11870,3090,1545,940,15850,19510,1580,1960,1465,3615,1640,1960,17355,11210,945,385,38350,41510,1605,510,2145,1050,12830,23085,1200,140,138770,17295,5995,9470,28940
"          Italic (Romance) languages, n.i.e.",0,10,0,85,20,0,0,155,60,15,30,25,45,0,15,55,80,20,15,185,175,10,0,20,20,60,100,25,0,725,50,50,190,165
"        Indo-European languages, n.i.e.",0,20,0,0,0,0,10,35,30,10,0,10,10,0,0,25,0,0,0,55,205,0,0,0,0,10,40,15,0,250,40,0,10,130
      Japanese,80,55,40,675,140,105,25,930,1055,140,125,100,255,25,85,825,630,75,35,2835,2220,105,25,150,100,430,1200,115,0,14215,1280,325,300,3035
      Korean,105,290,95,1710,135,185,135,2020,4990,210,275,145,610,135,90,4085,1885,75,45,3610,5835,380,25,140,115,1535,4595,150,0,38900,2905,540,605,18295
      Mongolian,0,0,0,15,0,0,0,10,40,0,0,0,0,0,0,0,0,25,0,90,50,0,0,15,0,0,0,0,0,420,0,0,0,45
      Niger-Congo languages,155,695,125,5220,655,90,105,4870,3555,70,90,80,610,145,160,3185,1605,90,45,18815,18320,185,145,1155,75,1790,3650,250,40,32880,3040,1105,2220,4970
        Akan (Twi),30,110,0,800,50,20,0,530,430,30,0,0,90,10,0,245,215,0,10,850,5895,10,0,50,0,300,335,30,0,6410,310,260,125,650
        Bamanankan,0,0,0,20,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,360,30,0,0,15,0,0,10,0,0,240,0,0,0,30
        Edo,0,20,0,160,15,0,0,95,150,0,0,0,0,0,0,20,20,0,0,205,830,0,0,25,0,135,25,0,0,1305,60,15,20,110
        Éwé,0,0,0,50,0,0,0,45,10,0,0,0,0,0,0,20,10,0,0,230,300,0,0,30,0,10,25,0,0,345,50,0,10,40
"        Fulah (Pular, Pulaar, Fulfulde)",0,0,0,50,25,0,0,55,0,0,0,0,0,0,0,20,35,0,0,310,115,0,10,0,0,10,20,10,0,305,15,0,15,0
        Ga,0,0,0,85,0,0,0,90,40,0,0,0,35,0,0,35,15,0,0,200,570,0,0,15,0,30,35,0,0,520,80,20,30,85
        Ganda,0,0,0,80,60,0,0,145,80,0,0,10,10,0,0,15,70,0,0,385,180,0,0,25,0,75,40,15,0,1495,25,15,25,20
        Gikuyu,0,0,0,70,0,0,0,60,80,0,0,0,25,0,0,60,45,0,0,90,175,10,0,0,0,10,70,15,0,365,10,0,0,15
        Igbo,0,30,20,520,20,15,0,420,335,0,0,0,35,0,40,360,115,10,10,1080,1600,25,0,50,0,180,380,35,0,2015,415,75,230,450
        Kinyarwanda (Rwanda),0,15,0,120,35,0,0,200,20,0,0,0,65,0,0,305,65,0,0,2025,195,0,0,30,0,0,310,0,0,660,40,20,155,20
        Lingala,0,0,0,530,85,0,0,355,155,0,0,0,35,0,20,250,85,0,0,3110,470,0,15,80,0,50,260,10,0,1660,85,30,145,115
        Luba-Kasai,0,0,0,65,15,0,0,30,45,0,0,0,0,0,0,30,0,0,0,510,50,0,0,30,0,0,30,0,0,170,25,0,25,25
        Mòoré,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,45,0,0,0,0
        Mwani,0,0,0,80,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,40,125,0,0,0,0,25,0,0,0,150,0,0,25,35
        Ndebele,0,0,0,70,0,0,0,75,50,0,0,0,15,0,0,0,25,15,0,85,115,0,0,0,0,15,0,0,0,205,85,0,40,30
        Rundi (Kirundi),0,0,0,100,90,0,0,225,0,0,0,0,70,0,0,190,15,0,0,3185,130,0,0,95,0,0,195,15,0,535,30,0,150,25
        Shona,0,45,0,170,0,0,0,350,130,0,0,0,45,20,0,110,215,15,0,280,310,10,0,35,0,90,110,0,0,715,230,15,75,145
        Soninke,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0
        Sotho-Tswana languages,0,0,0,40,0,0,0,40,25,0,0,0,10,0,0,0,0,0,0,70,50,0,0,25,0,0,15,0,0,270,10,10,0,25
        Swahili,80,145,30,970,205,15,15,1225,620,15,40,40,230,30,60,745,375,15,0,5310,2625,65,10,150,30,295,885,45,0,7625,655,235,605,1760
        Wojenaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,15,0,0,0,0,0,0,0,0,75,10,0,0,0
        Wolof,0,0,0,85,20,0,0,15,10,0,0,0,0,0,0,30,0,0,0,400,105,0,55,75,0,20,50,0,0,490,50,0,55,20
        Yoruba,20,255,20,1385,125,20,30,1130,1420,15,10,10,90,35,20,905,345,30,0,2255,4620,40,15,410,0,555,995,40,20,7230,880,405,540,1420
"        Niger-Congo languages, n.i.e.",10,85,30,630,85,15,35,560,450,15,25,20,80,25,30,345,185,0,0,2940,1725,15,65,190,15,155,425,45,0,3615,475,100,370,420
      Nilo-Saharan languages,25,0,0,60,0,0,0,215,115,0,0,80,15,0,0,275,20,0,0,705,160,10,0,20,0,0,365,60,0,555,545,50,185,75
        Dinka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,150,0,0,0,0,0,0,170,0,0,55,0,0,60,0
        Nuer,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,100,0,0,0,100,10,0,0,0,0,0,100,0,0,10,240,0,50,0
"        Nilo-Saharan languages, n.i.e.",10,0,0,60,0,0,0,185,95,0,0,0,15,0,0,80,20,0,0,450,150,0,0,15,0,0,100,50,0,485,295,30,80,75
"        African, n.o.s.",0,0,0,15,0,0,0,45,0,0,0,0,0,0,0,0,10,0,0,175,85,0,0,0,0,0,0,0,0,305,35,10,80,30
      Sign languages,160,260,155,1055,320,215,120,855,945,260,730,190,440,150,295,895,580,215,50,2100,1155,235,70,370,115,875,1590,180,25,2860,990,445,565,825
        American Sign Language,135,200,125,955,225,195,95,720,895,235,645,150,395,115,285,795,505,180,40,1820,990,220,45,295,100,805,1375,170,25,2575,860,410,495,740
        Quebec Sign Language,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,15,0,10,50,0,10,0,0,0,20,0,0,0,0
"        Sign languages, n.i.e.",20,75,25,115,25,30,35,165,65,25,100,40,60,30,30,140,80,55,10,230,225,25,25,45,15,85,275,10,0,375,140,50,85,105
      Sino-Tibetan languages,430,660,280,13125,435,425,220,10245,27640,720,735,330,2650,420,385,11240,5915,290,80,41130,55050,775,230,830,310,4765,12435,1115,70,275670,15990,4480,8330,261725
        Chinese languages,420,620,280,13000,385,425,220,9740,27535,715,680,325,2605,410,385,10700,5840,285,80,40235,54320,715,230,810,310,4665,11890,795,60,267745,15460,4480,7740,261505
          Hakka,0,0,0,225,0,0,0,70,155,0,0,0,25,0,0,45,35,0,0,225,575,0,0,0,0,20,45,10,0,3630,40,25,20,3630
          Mandarin,240,470,175,8595,275,280,145,6825,23165,485,385,210,2090,305,255,8650,4635,125,45,29995,35815,490,80,565,225,3395,9425,525,50,162955,12740,2990,5750,154195
          Min Dong,0,0,0,50,0,0,0,0,60,0,0,0,0,0,0,40,0,0,0,45,45,0,0,0,0,0,40,0,0,645,0,0,0,495
"          Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",15,0,25,375,0,10,0,215,545,15,0,15,45,15,0,185,125,0,0,1035,2085,15,0,20,0,125,250,15,0,7830,430,205,155,4445
          Wu (Shanghainese),0,0,0,120,0,0,0,30,415,0,0,0,35,0,0,105,40,0,0,490,490,0,0,20,0,20,120,0,0,2730,95,10,85,1995
          Yue (Cantonese),185,190,120,5560,175,170,85,3745,6130,345,375,135,580,140,155,2810,1630,170,30,13635,23740,265,155,300,100,1590,3260,290,40,134810,3580,1800,2635,146295
"          Chinese, n.o.s.",0,0,20,55,0,0,0,85,125,0,10,0,35,0,0,95,95,10,0,435,475,10,10,0,0,25,140,35,0,2245,230,45,140,945
"          Chinese languages, n.i.e.",0,0,0,10,0,0,0,0,25,0,0,0,15,0,0,30,0,0,0,70,45,0,0,0,0,10,30,15,0,195,0,0,0,85
        Tibeto-Burman languages,0,35,0,125,20,0,0,500,125,0,55,0,45,15,0,530,70,10,0,875,705,60,0,20,0,105,535,320,0,8075,540,0,565,325
          Burmese,0,20,0,35,0,0,0,100,65,0,0,0,15,15,0,90,20,0,0,305,165,0,0,0,0,40,90,85,0,870,300,0,160,250
          Kuki-Chin languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,55,250,0,0,0
          Karenic languages,0,0,0,0,0,0,0,350,0,0,0,0,20,0,0,415,0,0,0,360,35,0,0,0,0,35,415,295,0,220,60,0,420,0
            S'gaw Karen,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,380,0,0,0,345,35,0,0,0,0,35,380,265,0,155,60,0,355,0
"            Karenic languages, n.i.e.",0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,45,45,0,70,0,0,140,0
          Tibetan,0,0,0,75,0,0,0,45,30,0,55,0,0,0,0,0,50,0,0,45,370,55,0,0,0,25,10,0,0,6650,0,0,0,40
"          Tibeto-Burman languages, n.i.e.",0,0,0,0,0,0,0,25,30,0,0,0,0,0,0,100,0,10,0,75,150,0,0,15,0,0,100,0,0,450,45,0,30,0
"        Sino-Tibetan languages, n.i.e.",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,55,55,0,0,0,0,0,20,0,0,215,60,0,40,50
      Tai-Kadai languages,15,60,130,285,20,55,10,740,260,10,20,270,70,25,35,300,600,30,15,1220,1235,30,0,30,35,370,705,45,0,2865,1490,375,480,1440
        Lao,0,55,60,120,0,10,0,485,105,0,0,255,30,0,20,145,380,0,0,475,850,0,0,15,0,250,475,0,0,1045,1325,265,310,1085
        Thai,15,30,75,210,20,50,10,310,180,10,20,40,60,15,25,175,295,25,15,880,475,25,0,25,30,165,285,45,0,1835,300,135,220,490
"        Tai-Kadai languages, n.i.e.",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0,0,20,30,0,0,0,0,0,0,0,0,170,0,0,0,75
      Turkic languages,0,100,0,830,115,55,35,1690,2220,55,60,20,270,85,65,1255,1120,0,0,4430,3545,65,0,35,15,1110,1395,35,0,20920,2770,800,1240,9180
        Azerbaijani,0,0,0,60,0,0,0,145,155,0,0,0,0,10,0,115,70,0,0,390,180,0,0,0,0,110,125,20,0,2420,270,10,30,1900
        Kazakh,0,0,0,0,0,0,0,20,35,0,0,0,0,0,0,15,0,0,0,165,10,0,0,0,0,0,15,0,0,325,25,0,0,95
        Turkish,0,55,0,660,90,50,35,1485,2065,50,60,15,265,85,60,1100,1005,0,0,3820,3245,65,0,30,15,940,1205,10,0,18110,2465,295,1200,7505
        Uyghur,0,0,0,75,0,0,0,70,50,0,0,0,0,0,0,70,30,0,0,105,45,0,0,0,0,0,85,0,0,235,50,0,25,40
        Uzbek,0,50,0,50,0,0,0,35,40,0,0,0,0,0,0,10,10,0,0,160,70,0,0,0,0,55,20,0,0,790,35,540,20,210
"        Turkic languages, n.i.e.",0,0,0,10,10,0,0,45,50,0,0,0,0,0,0,45,10,0,0,100,65,0,0,0,0,35,50,0,0,370,55,0,25,245
      Uralic languages,765,615,95,1900,280,425,525,2780,1965,575,375,130,300,165,240,1535,2175,255,120,2410,2755,225,220,1335,100,2025,2910,2175,65,14670,2100,1575,1830,4535
        Estonian,75,10,0,165,25,55,20,160,160,75,50,25,50,10,10,70,60,10,0,215,185,10,0,25,15,265,150,20,25,1685,115,75,15,315
        Finnish,565,35,0,315,40,115,25,105,215,145,115,30,85,30,70,120,160,135,70,435,250,45,190,1200,0,460,295,2035,40,1405,105,175,145,565
        Hungarian,125,570,95,1430,220,265,485,2515,1585,355,210,85,160,130,165,1350,1955,110,50,1780,2320,170,30,115,80,1300,2475,130,0,11650,1880,1325,1675,3670
"      Other languages, n.i.e.",15,0,0,140,35,0,0,60,90,0,15,15,0,0,0,70,30,0,0,300,275,0,0,35,0,65,100,20,0,580,120,50,75,115
Total - Indigenous identity for the population in private households - 25% sample data,111010,142680,102095,691355,205955,171260,114790,560915,589770,184765,168385,140375,201355,126045,176650,493460,469455,126225,76100,1000935,1439075,144840,79640,198950,104695,589660,1015465,150355,31845,2761285,579380,303415,415725,1165615
  Indigenous identity,15830,6965,4565,13795,9040,5780,4010,12525,5890,6000,11435,2375,9050,6030,6785,12720,13960,14755,30050,26395,7425,7100,16700,27630,9265,27200,25730,29320,3150,22925,9960,5210,12055,5875
    Single Indigenous responses,15340,6695,4425,12945,8600,5555,3835,11875,5505,5625,10940,2250,8680,5775,6445,12180,13325,14235,29560,25110,6940,6765,16340,26945,8905,26150,24620,28780,3030,21475,9315,4900,11490,5415
      First Nations (North American Indian),9790,5535,2645,7385,5090,3565,3010,8555,3345,3465,7535,1245,5515,4300,3850,8925,7785,8475,24075,13300,4165,4835,10885,15525,5195,13035,16795,24060,1790,13800,5750,3030,5305,3225
      Métis,5495,1120,1755,5295,3320,1935,820,3205,2115,2115,3310,985,3020,1455,2465,3130,5390,5650,5450,10545,2655,1880,5375,11305,3655,12930,7560,4690,1225,7440,3380,1825,6115,2075
      Inuk (Inuit),55,35,25,265,190,55,0,120,50,45,100,20,145,20,125,125,150,110,40,1270,120,50,80,120,50,185,270,25,15,240,185,40,65,110
    Multiple Indigenous responses,175,45,45,420,195,65,25,185,100,180,170,10,190,110,155,210,220,230,215,665,235,135,185,380,145,500,355,220,80,645,360,120,265,180
    Indigenous responses not included elsewhere,320,230,100,425,250,160,150,460,285,195,325,115,175,145,190,325,415,295,275,620,260,200,175,300,220,555,745,325,45,800,285,190,300,275
  Non-Indigenous identity,95180,135710,97530,677560,196915,165475,110780,548400,583885,178765,156960,137995,192310,120015,169865,480740,455490,111470,46050,974540,1431650,137745,62945,171320,95435,562465,989740,121035,28695,2738365,569425,298210,403675,1159740
Total - Registered or Treaty Indian status for the population in private households - 25% sample data,111010,142680,102095,691355,205955,171260,114790,560915,589770,184765,168385,140375,201355,126045,176650,493460,469455,126225,76100,1000935,1439075,144840,79640,198950,104695,589660,1015465,150355,31845,2761285,579380,303415,415725,1165615
  Registered or Treaty Indian,8130,4155,1845,3410,2555,2705,1985,4630,1705,1915,4885,635,2240,3715,1400,5690,3890,6225,23180,6635,2005,3120,10220,12930,2820,8370,10635,22145,1220,7730,2615,1385,2855,1970
  Not a Registered or Treaty Indian,102875,138520,100245,687945,203395,168555,112800,556285,588065,182850,163500,139735,199115,122335,175250,487765,465565,120005,52925,994300,1437075,141720,69425,186015,101875,581290,1004830,128210,30625,2753555,576765,302035,412870,1163645
Total - Private households by tenure - 25% sample data,51260,56255,44180,243050,87030,73420,46310,222810,208600,79750,72475,58105,87875,55205,76530,204160,195915,57025,31135,407255,450745,61740,34750,87580,45510,231395,419560,66080,14630,1160895,222425,115130,165785,391035
  Owner,36335,40245,31785,190940,63935,58250,38420,146410,163675,65765,53490,43355,57805,41055,59880,126175,142190,41130,20925,260225,335880,44720,23370,58575,34130,181535,290380,46205,10895,602920,144520,85740,120155,321370
  Renter,14315,15945,12345,52080,23090,14960,7890,76395,44925,13910,18745,14750,30070,13905,16650,77945,53725,15620,6310,147030,114870,16950,10370,27930,11330,49575,128935,17675,3660,557970,77910,29390,45630,69645
"  Dwelling provided by the local government, First Nation or Indian band",610,70,40,30,0,210,0,0,0,70,240,0,0,245,0,35,0,270,3905,0,0,65,1010,1085,50,290,240,2195,75,0,0,0,0,20
Total - Occupied private dwellings by condominium status - 25% sample data,51260,56255,44180,243050,87030,73420,46310,222810,208600,79750,72475,58105,87875,55205,76530,204160,195915,57025,31135,407255,450745,61740,34750,87580,45510,231395,419560,66080,14630,1160895,222425,115130,165785,391035
  Condominium,1385,4630,1295,21115,3700,3765,2200,24715,37100,2950,2580,2415,4345,2280,2910,29600,15390,2005,720,65700,89290,2440,905,1565,695,18020,39425,2335,210,353220,30500,13550,11095,64125
  Not condominium,49880,51625,42880,221930,83325,69655,44115,198095,171495,76800,69895,55690,83530,52925,73615,174560,180530,55020,30415,341550,361455,59300,33845,86020,44815,213375,380140,63740,14420,807675,191925,101580,154695,326905
Total - Occupied private dwellings by number of bedrooms - 25% sample data,51260,56255,44180,243050,87030,73420,46310,222810,208600,79750,72475,58105,87875,55205,76530,204160,195915,57025,31135,407255,450745,61740,34750,87580,45510,231395,419560,66080,14630,1160895,222425,115130,165785,391035
  No bedrooms,185,215,95,905,220,215,180,1705,570,225,250,170,470,120,250,1120,625,320,80,3830,2330,290,140,410,100,750,1730,230,50,28770,1000,415,945,1360
  1 bedroom,5580,5305,4025,16110,7450,5515,3080,32400,16250,5915,6785,4925,10100,5260,6065,28465,19415,6535,3205,59770,44205,5960,4205,10615,3855,16255,46180,7195,1580,330340,26190,10580,17655,31535
  2 bedrooms,12925,11935,11330,34695,22270,15630,10135,46450,34410,18895,17975,13990,21395,11845,18550,49000,44105,13765,7940,85345,73120,13725,9010,21750,10505,44895,97435,16180,3985,334325,48570,22135,36945,49375
  3 bedrooms,22535,23710,19275,97975,36780,29645,20080,87965,76270,33160,28070,23175,33650,22365,33470,73920,83190,21935,12335,150190,146610,23700,13350,33395,18975,93525,162555,25805,5440,268505,91125,48190,67045,117485
  4 or more bedrooms,10045,15095,9450,93365,20310,22420,12830,54280,81100,21555,19385,15850,22270,15625,18185,51655,48580,14480,7575,108105,184475,18060,8045,21420,12075,75965,111660,16670,3575,198965,55545,33815,43195,191285
Total - Occupied private dwellings by number of rooms - 25% sample data,51260,56255,44180,243050,87030,73420,46310,222810,208600,79750,72475,58105,87875,55205,76530,204160,195915,57025,31135,407255,450745,61740,34750,87580,45510,231395,419560,66080,14630,1160895,222425,115130,165785,391035
  1 to 4 rooms,11450,10540,7325,39920,17730,11830,6465,59720,40460,13005,14125,10080,21485,9290,13470,54840,39340,13250,7275,117090,119960,12210,9395,22175,8455,40185,90495,15360,3305,617005,57940,23335,35640,81885
  5 rooms,8575,7775,6390,33375,14260,9680,6070,32120,27655,11940,10475,7595,12730,6780,11280,27595,28765,9040,6055,54625,67680,8805,6920,13840,7055,33930,55750,11385,2685,152950,32440,16220,24340,53580
  6 rooms,8730,8905,7245,39840,14935,11905,7810,33890,31205,14020,11500,9610,13365,7705,13355,29395,32550,8965,5430,57030,69815,9765,5930,13895,7745,38575,64555,11155,2505,113720,35105,18395,25695,57745
  7 rooms,7055,8695,7320,38160,12925,11510,7485,29990,29220,12795,11170,8870,11795,8365,12490,26205,29900,8070,4460,54525,59495,9210,4520,12275,7275,34440,59785,9275,2075,90780,29150,16735,23755,54655
  8 or more rooms,15445,20340,15890,91755,27185,28495,18480,67090,80060,27990,25205,21945,28495,23070,25930,66125,65360,17700,7920,123985,133795,21755,7980,25400,14990,84270,148980,18900,4065,186445,67795,40450,56355,143170
Average number of rooms per dwelling,6.4,6.8,6.8,6.9,6.5,7,7.1,6.3,6.9,6.8,6.7,6.9,6.5,7.1,6.7,6.4,6.6,6.4,6.2,6.3,6.3,6.7,6,6.3,6.6,6.8,6.7,6.3,6.3,4.9,6.4,6.7,6.6,6.7
Total - Private households by number of persons per room - 25% sample data,51260,56255,44180,243050,87030,73420,46310,222810,208600,79750,72475,58105,87875,55205,76530,204160,195915,57025,31135,407255,450745,61740,34750,87580,45510,231395,419560,66080,14630,1160895,222425,115130,165785,391035
  One person or fewer per room,51000,55510,43835,238405,86320,72985,45965,217400,204400,79265,71905,57525,87185,54880,76045,199485,193910,56640,30240,398225,421250,61330,34230,86855,45270,229185,413145,65140,14535,1093085,216425,113025,162315,380380
  More than one person per room,265,740,345,4640,710,435,340,5405,4200,485,565,575,690,325,485,4675,2005,390,900,9030,29500,410,525,730,235,2210,6415,940,100,67805,6000,2110,3470,10655
Total - Private households by housing suitability - 25% sample data,51260,56255,44180,243050,87030,73420,46310,222810,208600,79750,72475,58105,87875,55205,76530,204160,195915,57025,31135,407255,450745,61740,34750,87580,45510,231395,419560,66080,14630,1160895,222425,115130,165785,391035
  Suitable,49890,53620,42640,230685,84565,71675,44800,208975,199845,77525,70020,56400,84910,53785,74730,193035,188725,55425,29235,385175,397850,59830,33390,85050,44420,223535,402170,63540,14325,1016345,209150,110070,157310,369250
  Not suitable,1375,2635,1535,12365,2465,1745,1515,13830,8755,2225,2455,1705,2965,1415,1795,11125,7190,1595,1905,22075,52890,1910,1360,2535,1090,7860,17390,2535,300,144545,13280,5060,8480,21785
Total - Occupied private dwellings by period of construction - 25% sample data,51260,56255,44180,243050,87030,73420,46310,222810,208600,79750,72475,58105,87875,55205,76530,204160,195915,57025,31135,407255,450745,61740,34750,87580,45510,231395,419560,66080,14630,1160895,222425,115130,165785,391035
  1960 or before,16250,18345,17460,34060,23700,23335,16055,73105,22700,22115,22620,23820,20645,18915,24190,47030,62255,15040,8280,64810,27795,19360,11720,25820,15120,37570,122235,22815,6445,340185,40845,23685,53145,20470
  1961 to 1980,20600,15115,15030,56580,21895,19450,11615,62565,49550,21210,20975,13395,26560,18165,18445,59400,57945,19525,9260,115070,114835,17785,12660,31500,11950,52685,112745,21655,4680,333985,58565,27660,44935,50355
  1981 to 1990,6340,5780,4010,42755,12935,8640,4790,24990,27340,11680,8065,5115,12240,6405,10035,27815,21235,8100,4455,63195,76305,8165,4550,9975,5185,32890,49355,8210,1555,109780,30455,15330,14555,70890
  1991 to 2000,3715,5330,3825,35900,9870,6870,4560,21370,27695,8345,6925,5170,9995,4265,8735,22490,17860,5550,4140,46090,77935,5750,2945,8915,4965,35700,43275,6610,800,92980,28485,15745,23230,72405
  2001 to 2005,1115,3200,1145,22100,4525,3260,2185,10395,23765,4200,3450,2365,5020,1925,3455,11400,8830,2195,1385,28870,54475,2735,705,2660,1865,20525,21200,1790,235,58975,18555,9215,11550,52640
  2006 to 2010,1300,2745,1005,19615,4635,4100,2025,9470,21785,4390,3270,2260,4690,1945,3550,11450,7645,2720,1245,29380,38275,2855,735,3520,2300,16765,22395,1680,320,63995,14935,7540,5470,46470
  2011 to 2015,1065,2375,650,15175,4520,3155,1930,10035,17235,3975,2670,2365,4305,1730,3510,10120,8260,2165,1100,28490,32935,2310,780,2995,2105,15565,19715,1645,295,75985,13030,7440,5240,39325
  2016 to 2021,870,3365,1050,16860,4940,4615,3150,10880,18530,3840,4490,3610,4425,1855,4620,14455,11885,1725,1270,31350,28190,2785,660,2215,2015,19695,28635,1680,300,85000,17550,8520,7660,38495
Total - Occupied private dwellings by dwelling condition - 25% sample data,51260,56255,44180,243050,87030,73420,46310,222810,208600,79750,72475,58105,87875,55205,76530,204160,195915,57025,31135,407255,450745,61740,34750,87580,45510,231395,419560,66080,14630,1160895,222425,115130,165785,391035
  Only regular maintenance and minor repairs needed,46770,52905,40960,232490,80955,68400,43590,208120,201165,74420,67225,54920,81730,51435,70975,193185,185175,52420,26785,385390,432185,57805,31225,80725,41810,218630,395870,59755,13070,1086410,212425,109595,155765,378195
  Major repairs needed,4495,3350,3225,10560,6080,5020,2725,14690,7435,5330,5245,3185,6145,3770,5550,10970,10740,4605,4355,21860,18560,3935,3530,6860,3695,12765,23690,6330,1560,74480,10000,5535,10025,12840
Total - Private households by number of household maintainers - 25% sample data,51260,56255,44180,243050,87030,73420,46310,222810,208600,79750,72475,58105,87875,55205,76530,204160,195915,57025,31135,407255,450745,61740,34750,87580,45510,231395,419560,66080,14630,1160895,222425,115130,165785,391035
  One-maintainer household,28680,27185,23525,105160,42410,36625,22035,111335,90650,37760,36530,28760,43305,29785,36795,104200,97720,29450,17180,198960,185510,30010,19655,46795,23440,104815,209360,36235,8485,634725,102745,50880,87250,158950
  Two-maintainer household,21240,26415,19625,122630,42265,34785,22890,100045,109455,39340,33450,28000,41320,23990,37510,90770,90145,25830,12980,189175,214305,29035,14290,38155,20920,114890,195215,27780,5860,447155,107075,58205,71790,202565
  Three-or-more-maintainer household,1350,2645,1030,15260,2360,2015,1390,11425,8495,2655,2490,1345,3250,1430,2220,9180,8050,1750,975,19115,50930,2690,805,2635,1150,11690,14985,2060,290,79010,12605,6045,6745,29520
Total - Private households by age of primary household maintainers - 25% sample data,51260,56255,44180,243050,87030,73420,46310,222810,208600,79750,72475,58105,87875,55205,76530,204160,195915,57025,31135,407255,450745,61740,34750,87580,45510,231395,419560,66080,14630,1160895,222425,115130,165785,391035
  15 to 24 years,1195,1095,1005,2230,1590,1070,530,5065,1425,775,1185,1190,3805,1145,1005,7605,3875,1405,825,14635,7260,1710,1320,3030,975,3040,11370,2005,415,34350,7980,2925,3470,3695
  25 to 34 years,5520,7125,4820,26980,10810,8010,4945,31170,19390,6625,7685,7160,12170,6735,7715,32015,21790,5935,4140,62300,48100,7190,4940,11215,6160,25995,57740,8700,1870,202225,36370,15445,19675,35620
  35 to 44 years,6495,9620,6440,46830,12470,9880,6375,37850,41670,9105,9725,8450,12580,7760,9860,34650,28080,7380,4775,72630,85225,8495,5175,13240,6605,37290,66590,9720,1835,210575,41490,20285,25500,68540
  45 to 54 years,7285,10015,6940,50215,14530,10220,7260,39765,50090,10915,10540,8570,13435,8150,12160,34475,32655,8635,5140,76580,101405,8865,5865,14400,6555,40650,67670,10500,2070,204790,41695,21730,31050,91460
  55 to 64 years,11490,11760,9845,54450,19865,16665,10615,45970,42580,19420,16925,12475,17830,11685,17865,39400,42365,13360,6890,80140,102165,13135,7705,18800,9995,52240,85910,14430,3310,215745,42165,24300,36230,89560
  65 to 74 years,10845,9625,8630,36210,16400,16050,9655,35135,28385,18790,14985,11450,15800,11205,16620,31460,37310,11480,5585,58720,64125,12645,5805,15205,8955,41335,73770,12165,3100,158850,30060,17260,28365,59850
  75 to 84 years,6095,5140,4790,18835,8740,8510,5040,19635,18145,10435,8540,6360,8975,6195,8545,17845,21500,6565,2825,31265,31680,7035,2955,8595,4580,22660,41245,6245,1575,90905,16695,9480,15525,30815
  85 years and over,2335,1880,1710,7305,2620,3010,1885,8210,6920,3685,2895,2445,3280,2330,2760,6700,8340,2270,965,10975,10785,2660,985,3090,1685,8180,15255,2310,455,43460,5975,3700,5960,11500
